Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20
38,Poland,Leszno,kfabianowicz_1,Nissan,Qashqgai,1300,2018,Grey,Gas,Auto,https://firebasestorage.googleapis.com/v0/b/dreamcar-d63e5.appspot.com/o/Images%2Fkfabianowicz_1.png?alt=media&token=01790efa-eee8-44dc-8214-eaf41ad04745,1450,#Nissan #Nissan2018,5/19/2022,6/29/2022,FALSE,FALSE,kfabianowicz,16
39,Poland,Braniewo,mateuszbiernat_0,Audi,A8,2000,2020,Black,Diesel,Auto,https://firebasestorage.googleapis.com/v0/b/dreamcar-d63e5.appspot.com/o/Images%2Fmateuszbiernat_0.png?alt=media&token=ea15b098-cacb-40b3-8a36-ac70be6f4ab1,1500,#Audi #A8 #Audi2020,5/9/2022,6/1/2022,FALSE,FALSE,mateuszbiernat,17
40,Poland,Braniewo,mateuszbiernat_1,KIA,Sorento,1600,2020,White,Hybrid,Auto,https://firebasestorage.googleapis.com/v0/b/dreamcar-d63e5.appspot.com/o/Images%2Fmateuszbiernat_1.png?alt=media&token=3e3aa33a-bd0e-49d4-af3f-40266eff28ea,1450,#KIA #Sorento #KIA2020,5/5/2022,6/6/2022,FALSE,FALSE,mateuszbiernat,17
41,Poland,Gniezno,patrykbieda_0,Renault,Clio,999,2017,Red,Gas,Manual,https://firebasestorage.googleapis.com/v0/b/dreamcar-d63e5.appspot.com/o/Images%2Fpatrykbieda_0.png?alt=media&token=d5062d34-4ae6-4e6b-94ff-6f99a660b3ca,1050,#Renault #Clio #Renault2017,5/1/2022,6/1/2022,FALSE,FALSE,patrykbieda,18
42,Poland,Gniezno,patrykbieda_1,Volvo,C40,brak,2021,Blue,Electric,Auto,https://firebasestorage.googleapis.com/v0/b/dreamcar-d63e5.appspot.com/o/Images%2Fpatrykbieda_1.png?alt=media&token=ba3ed2ab-ecbf-416f-b8f3-0cf1d54e6897,3500,#Volvo #C40 #Volvo2021,5/5/2022,6/1/2022,FALSE,FALSE,patrykbieda,18
43,Poland,Gniezno,patrykbieda_2,Suzuki,Across,2487,2020,Black,Hybrid,Auto,https://firebasestorage.googleapis.com/v0/b/dreamcar-d63e5.appspot.com/o/Images%2Fpatrykbieda_2.png?alt=media&token=7fe13418-61c6-486a-b6fe-ced6d68ff77d,3200,#Suzuki #Suzuki2020,5/2/2022,6/2/2022,FALSE,FALSE,patrykbieda,18
44,Poland,Kalisz,tomekgolonka_0,Suzuki,Swift,1328,2010,White,Gas,Manual,https://firebasestorage.googleapis.com/v0/b/dreamcar-d63e5.appspot.com/o/Images%2Ftomekgolonka_0.png?alt=media&token=a2d05594-1759-4b24-bbf8-2b2913c8588b,1050,#Suzuki #Suzuki2010 #Swift,5/3/2022,6/5/2022,FALSE,FALSE,tomekgolonka,19
45,Poland,Kalisz,tomekgolonka_1,Subaru,Forester,1995,2019,White,Gas,Manual,https://firebasestorage.googleapis.com/v0/b/dreamcar-d63e5.appspot.com/o/Images%2Ftomekgolonka_1.png?alt=media&token=83bdd056-f752-4785-8830-c3d5276febf2,1100,#Subaru #Subaru2019,5/1/2022,6/1/2022,FALSE,FALSE,tomekgolonka,19
46,Poland,Kamieniec,karolinanaborczyk_0,Smart,Fortwo,599,2003,Grey,Gas,Auto,https://firebasestorage.googleapis.com/v0/b/dreamcar-d63e5.appspot.com/o/Images%2Fkarolinanaborczyk_0.png?alt=media&token=5ef98914-3c4b-41c5-93db-53a280993ca0,850,#Smart #Smart2003 #Fortwo,5/5/2022,7/1/2022,FALSE,FALSE,karolinanaborczyk,20
47,Poland,Kamieniec,karolinanaborczyk_1,Skoda,Octavia,1212,2016,Grey,Gas,Manual,https://firebasestorage.googleapis.com/v0/b/dreamcar-d63e5.appspot.com/o/Images%2Fkarolinanaborczyk_1.png?alt=media&token=1c2dff10-0639-4e02-b0ee-1399f3909ad2,1100,#Skoda #Skoda2016,5/6/2022,6/8/2022,FALSE,FALSE,karolinanaborczyk,20
48,Poland,Kamieniec,karolinanaborczyk_2,Skoda,Karoq,1500,2019,White,Gas,Auto,https://firebasestorage.googleapis.com/v0/b/dreamcar-d63e5.appspot.com/o/Images%2Fkarolinanaborczyk_2.png?alt=media&token=9d7ccbab-b296-433c-9db6-04c17eb866cb,1350,#Skoda #Skoda2019,5/5/2022,6/6/2022,FALSE,FALSE,karolinanaborczyk,20
49,Poland,Stronie,agnieszkawachnik_0,Seat,Arona,1500,2017,Red,Gas,Auto,https://firebasestorage.googleapis.com/v0/b/dreamcar-d63e5.appspot.com/o/Images%2Fagnieszkawachnik_0.png?alt=media&token=d0261264-aef8-4aa8-9ff9-b90a3498299a,1450,#Seat #Seat2017,5/5/2022,6/14/2022,FALSE,FALSE,agnieszkawachnik,21
50,Poland,Stronie,agnieszkawachnik_1,Porche,Macan,1984,2020,Green,Gas,Auto,https://firebasestorage.googleapis.com/v0/b/dreamcar-d63e5.appspot.com/o/Images%2Fagnieszkawachnik_1.png?alt=media&token=7f62f915-4b99-467a-bb99-737343be7243,2050,#Porche #Porche2020 #Macan,5/1/2022,6/1/2022,FALSE,FALSE,agnieszkawachnik,21
51,Germany,Berlin,hannafischer_0,Peugeot,2008,1199,2019,Blue,Gas,Auto,https://firebasestorage.googleapis.com/v0/b/dreamcar-d63e5.appspot.com/o/Images%2Fhannafischer_0.png?alt=media&token=b8b1bf1b-024b-4f7f-9e3e-57822a9f99d1,1550,#Peugeot #Peugeot2019,5/9/2022,6/26/2022,FALSE,FALSE,hannafischer,22
52,Germany,Berlin,hannafischer_1,Peugeot,508,1499,2018,Black,Gas,Manual,https://firebasestorage.googleapis.com/v0/b/dreamcar-d63e5.appspot.com/o/Images%2Fhannafischer_1.png?alt=media&token=c131df9f-8bfb-4f76-99c7-44bff0cd81cb,1300,#Peugeot #Peugeot2018,5/17/2022,6/18/2022,FALSE,FALSE,hannafischer,22
53,Germany,Berlin,hannafischer_2,Opel,Astra,1399,2018,Red,Gas,Manual,https://firebasestorage.googleapis.com/v0/b/dreamcar-d63e5.appspot.com/o/Images%2Fhannafischer_2.png?alt=media&token=c0633963-f542-4550-80b6-1958a338fa47,1250,#Opel #Opel2018 #2018,5/13/2022,7/1/2022,FALSE,FALSE,hannafischer,22
54,Germany,Berlin,hannafischer_3,Opel,Insignia,1496,2018,Red,Gas,Auto,https://firebasestorage.googleapis.com/v0/b/dreamcar-d63e5.appspot.com/o/Images%2Fhannafischer_3.png?alt=media&token=8440bfff-7207-41b7-aa6d-294cb11a920d,1250,#Opel #Opel2018 #Insignia,5/20/2022,6/20/2022,FALSE,FALSE,hannafischer,22
55,Germany,Berlin,noahmeyer_0,Jeep,Compass,1332,2017,White,Gas,Auto,https://firebasestorage.googleapis.com/v0/b/dreamcar-d63e5.appspot.com/o/Images%2Fnoahmeyer_0.png?alt=media&token=647e23cd-ff2b-4e2a-b9ac-d3218bd60fcd,1340,#Jeep #Jeep2017,5/13/2022,6/12/2022,FALSE,FALSE,noahmeyer,23
56,Germany,Berlin,noahmeyer_1,Jeep,Renagade,999,2020,Grey,Gas,Auto,https://firebasestorage.googleapis.com/v0/b/dreamcar-d63e5.appspot.com/o/Images%2Fnoahmeyer_1.png?alt=media&token=0a4e3cf5-c64d-4011-8112-75daa924b50d,1250,#Jeep #Jeep2020 #2020,5/1/2022,7/1/2022,FALSE,FALSE,noahmeyer,23
57,Germany,Berlin,noahmeyer_2,Jaguar,XE,1997,2019,Black,Gas,Auto,https://firebasestorage.googleapis.com/v0/b/dreamcar-d63e5.appspot.com/o/Images%2Fnoahmeyer_2.png?alt=media&token=15b60177-07b7-47cb-859f-3f2cd0b5846c,1550,#Jaguar #Jaguar2019,5/3/2022,5/29/2022,FALSE,FALSE,noahmeyer,23
58,Germany,Berlin,emmaschmidt_0,Honda,Jazz,1498,2018,White,Gas,Manual,https://firebasestorage.googleapis.com/v0/b/dreamcar-d63e5.appspot.com/o/Images%2Femmaschmidt_0.png?alt=media&token=e2a58265-2994-4de1-8a02-40c742501b6f,1200,#Honda #Honda2018,5/17/2022,6/22/2022,FALSE,FALSE,emmaschmidt,24
59,Germany,Berlin,emmaschmidt_1,Fiat,500,999,2016,White,Gas,Manual,https://firebasestorage.googleapis.com/v0/b/dreamcar-d63e5.appspot.com/o/Images%2Femmaschmidt_1.png?alt=media&token=4a496d22-69f8-41d5-acf8-0925cdfef4fa,950,#Fiat #Fiat500,5/13/2022,7/5/2022,FALSE,FALSE,emmaschmidt,24
60,Germany,Berlin,emmaschmidt_2,Dacia,Duster,998,2017,Blue,Gas,Auto,https://firebasestorage.googleapis.com/v0/b/dreamcar-d63e5.appspot.com/o/Images%2Femmaschmidt_2.png?alt=media&token=bbc94f20-b9ea-4fb1-89d5-c056d9108114,1290,#Dacia #Duster #2017,5/16/2022,6/24/2022,FALSE,FALSE,emmaschmidt,24
61,Germany,Monachium,paulschneider_0,Citroen,Berlingo,1199,2008,White,Gas,Manual,https://firebasestorage.googleapis.com/v0/b/dreamcar-d63e5.appspot.com/o/Images%2Fpaulschneider_0.png?alt=media&token=eb647cc3-9995-4e8d-ad84-c84c84e7e0d8,1050,#Citroen #Citroen2008,5/1/2022,6/7/2022,FALSE,FALSE,paulschneider,25
62,Germany,Monachium,paulschneider_1,Citroen,Jumpy,1997,2016,White,Gas,Manual,https://firebasestorage.googleapis.com/v0/b/dreamcar-d63e5.appspot.com/o/Images%2Fpaulschneider_1.png?alt=media&token=e4cdfbdb-8e0b-499d-8c15-a2c4698adf65,1100,#Citroen #Citroen2016,5/7/2022,7/1/2022,FALSE,FALSE,paulschneider,25
63,France,Auby,arthurblaise_0,BMW,8,2993,2020,Green,Gas,Auto,https://firebasestorage.googleapis.com/v0/b/dreamcar-d63e5.appspot.com/o/Images%2Farthurblaise_0.png?alt=media&token=20eaa615-01b6-47dd-97ea-466cef952ec9,3700,#BMW #BMW8 #BMW2020,5/5/2022,6/5/2022,FALSE,FALSE,arthurblaise,26
64,France,Auby,arthurblaise_1,BMW,6,2979,2015,White,Gas,Auto,https://firebasestorage.googleapis.com/v0/b/dreamcar-d63e5.appspot.com/o/Images%2Farthurblaise_1.png?alt=media&token=a8370d27-3093-4c5b-8711-beed2299ded7,3450,#BMW #BMW6 #BMW2015,5/3/2022,6/3/2022,FALSE,FALSE,arthurblaise,26
65,France,Auby,arthurblaise_2,BMW,X7,2993,2017,White,Gas,Auto,https://firebasestorage.googleapis.com/v0/b/dreamcar-d63e5.appspot.com/o/Images%2Farthurblaise_2.png?alt=media&token=588a6c37-1eb6-4fb2-b631-d273c008adbd,3330,#BMW #BMWX7 #BMW2017,5/13/2022,6/17/2022,FALSE,FALSE,arthurblaise,26
66,France,Paris,camilleandre_0,Audi,R8,4200,2012,Grey,Gas,Auto,https://firebasestorage.googleapis.com/v0/b/dreamcar-d63e5.appspot.com/o/Images%2Fcamilleandre_0.png?alt=media&token=b201766c-39a7-4e6b-a7b6-8e3a93e57473,3200,#Audi #Audi2012 #AudiR8,5/1/2022,5/29/2022,FALSE,FALSE,camilleandre,27
67,France,Paris,camilleandre_1,Audi,Q2,1984,2018,Grey,Gas,Auto,https://firebasestorage.googleapis.com/v0/b/dreamcar-d63e5.appspot.com/o/Images%2Fcamilleandre_1.png?alt=media&token=3daf4312-02a8-41b1-b210-9c3b1da5943d,3150,#Audi #AudiQ2 #Audi2018,5/13/2022,7/1/2022,FALSE,FALSE,camilleandre,27
68,France,Paris,camilleandre_2,Bentley,Bentayga,5950,2019,Grey,Gas,Auto,https://firebasestorage.googleapis.com/v0/b/dreamcar-d63e5.appspot.com/o/Images%2Fcamilleandre_2.png?alt=media&token=2cd4cf98-2249-4167-9a21-e0bff7412545,4150,#Bentley #Bantayga #Bentley2019,5/19/2022,6/13/2022,FALSE,FALSE,camilleandre,27
69,France,Lyon,adrienbastien_0,Cupra,Ateca,1984,2020,Grey,Gas,Auto,https://firebasestorage.googleapis.com/v0/b/dreamcar-d63e5.appspot.com/o/Images%2Fadrienbastien_0.png?alt=media&token=00f6f681-03d4-4a2b-881b-969f4ae99820,3270,#Cupra #Cupra2020 #Ateca,5/20/2022,6/17/2022,FALSE,FALSE,adrienbastien,28
70,France,Lyon,adrienbastien_1,Lamborghini,Aventador,6498,2018,Grey,Gas,Auto,https://firebasestorage.googleapis.com/v0/b/dreamcar-d63e5.appspot.com/o/Images%2Fadrienbastien_1.png?alt=media&token=af2dd416-1ea1-406c-a8b6-c2f3686ccd86,4450,#Lamborghini #LamborghiniAventador,5/12/2022,6/1/2022,FALSE,FALSE,adrienbastien,28
71,France,Lyon,adrienbastien_2,Maserati,Ghibli,2979,2017,White,Electric,Auto,https://firebasestorage.googleapis.com/v0/b/dreamcar-d63e5.appspot.com/o/Images%2Fadrienbastien_2.png?alt=media&token=14eb47cc-5174-414a-bbe2-14cdc1d93308,4600,#Maserati #MaseratiGhibli #Maserati2017,5/21/2022,6/13/2022,FALSE,FALSE,adrienbastien,28
72,France,Lyon,adrienbastien_3,Mazda,2,1388,2013,Red,Gas,Manual,https://firebasestorage.googleapis.com/v0/b/dreamcar-d63e5.appspot.com/o/Images%2Fadrienbastien_3.png?alt=media&token=d184de2d-c5ce-4d22-b860-b8c01d9be3c2,1250,#Mazda #Mazda2,5/1/2022,6/1/2022,FALSE,FALSE,adrienbastien,28
